,genes,x_coord,y_coord,x_coord_plot,y_coord_plot,cluster_id
7627,KATNAL2,15.893648,11.063683,14.15891,10.2557125,9
7628,KATNB1,3.7493622,4.7747774,1.5504609,5.683325,331
7629,KATNBL1,14.991169,7.303243,16.230371,9.200661,294
7630,KATNIP,6.265181,13.902989,5.345802,14.07713,733
7631,KAZALD1,5.923112,13.87683,5.4762506,14.188894,378
7632,KAZN,-6.958518,2.9475403,-6.1854715,2.616327,290
7633,KBTBD11,-2.5754306,12.41642,3.1248698,8.425027,1255
7634,KBTBD12,15.705044,3.1663742,14.961677,2.6945226,252
7635,KBTBD13,5.1315513,12.617841,6.607606,6.3147893,155
7636,KBTBD2,4.990689,9.823286,6.7075973,9.432097,620
7637,KBTBD3,9.330513,11.551295,11.51859,11.782243,403
7638,KBTBD4,-0.3098881,1.8362079,5.705981,-4.5250525,209
7639,KBTBD6,14.469171,10.789568,15.030808,8.047748,35
7640,KBTBD7,7.057495,9.807569,2.453802,11.108838,674
7641,KBTBD8,8.729395,10.490885,10.515857,11.556594,122
7642,KCMF1,9.021547,1.4640578,6.5295954,1.2813625,1306
7643,KCNA1,-4.4421473,1.1213592,-4.2243505,1.3911086,483
7644,KCNA10,5.442805,-6.2997403,4.977212,-6.0917,34
7645,KCNA2,13.184147,0.09227966,13.381751,0.30184907,19
7646,KCNA3,4.060251,10.22706,4.047585,13.826498,1356
7647,KCNA4,12.245578,-2.151083,13.605322,-2.4806592,1286
7648,KCNA5,-6.430455,4.8419843,-7.7058673,3.9016733,44
7649,KCNA6,-1.6218896,12.924171,-0.38933545,12.513771,1153
7650,KCNA7,1.0308363,17.300486,3.0561886,17.637604,969
7651,KCNAB1,17.047876,5.899367,16.485332,5.472722,13
7652,KCNAB2,-7.0118012,3.2868395,-6.437357,2.2848423,290
7653,KCNAB3,15.094933,7.1761436,16.222654,9.180066,294
7654,KCNB1,3.9329162,6.370018,3.8836873,4.7973657,1380
7655,KCNB2,-4.9185414,9.473293,-3.2062376,7.8302746,111
7656,KCNC1,5.47872,-6.3416796,4.896192,-6.170143,34
7657,KCNC2,15.297117,5.989116,16.06844,4.4438496,112
7658,KCNC3,-5.9754133,4.8807425,-8.239123,3.5632112,176
7659,KCNC4,5.1180544,-6.135293,4.887511,-5.6985765,503
7660,KCND1,-5.3779426,0.31047365,-5.1658897,-0.6144334,218
7661,KCND2,-5.8174415,7.9229026,-5.4879537,7.434121,220
7662,KCND3,5.093184,-6.109574,4.833571,-5.646864,503
7663,KCNE1,-0.082960725,11.0864315,-3.3324285,14.530376,395
7664,KCNE2,14.984542,9.858209,15.092819,8.869868,361
7665,KCNE3,7.761758,10.908133,8.739876,10.917223,114
7666,KCNE4,5.0010653,-1.1135758,8.630127,-1.755836,281
7667,KCNE5,-6.4700885,4.744265,-7.671406,3.9638443,44
7668,KCNF1,-1.6250477,12.923826,-0.39494544,12.515858,1153
7669,KCNG1,0.20905954,-3.3112373,-3.446449,0.05132982,592
7670,KCNG2,1.6982583,13.438588,-0.05145029,14.151501,96
7671,KCNG3,5.919444,15.42055,4.6551785,16.400394,33
7672,KCNG4,-0.6960028,14.200955,1.1756021,13.316552,284
7673,KCNH1,11.299746,-4.3228087,10.702102,-3.3963,94
7674,KCNH2,-0.9276303,12.369994,-2.2318144,12.2459955,266
7675,KCNH3,3.7909503,8.005033,4.650399,8.546009,184
7676,KCNH4,4.1261854,14.533168,1.3570715,13.880384,962
7677,KCNH5,12.366729,10.914353,14.492328,11.852475,699
7678,KCNH6,-5.135433,7.487136,-4.855198,8.446842,244
7679,KCNH7,6.6906495,16.851696,6.601714,16.448963,139
7680,KCNH8,2.05596,9.534235,-1.8554876,9.081359,1200
7681,KCNIP1,0.67541015,10.474043,5.149215,12.900582,821
7682,KCNIP2,5.4085207,4.5126815,-0.9150183,3.8535616,784
7683,KCNIP3,-0.20687343,-0.044663835,5.142197,2.5010734,1223
7684,KCNIP4,13.166738,-0.78920275,14.409194,-0.1937118,198
7685,KCNJ1,8.385716,13.984935,7.1621485,13.24157,310
7686,KCNJ10,1.2007887,-3.233147,2.7955275,-2.290899,49
7687,KCNJ11,-1.3831724,9.868727,-3.0789733,8.751531,173
7688,KCNJ12,6.456479,-1.2452465,9.174379,-3.817428,716
